CASE ID,CIGAGE,FIRSTCIGTRY,STATISTICS
772,991,991,HIGHRISK
773,999,21,LOWRISK
774,999,14,LOWRISK
775,14,14,HIGHRISK
776,991,991,HIGHRISK
777,991,991,HIGHRISK
778,991,991,HIGHRISK
779,991,991,HIGHRISK
780,991,991,HIGHRISK
781,994,17,LOWRISK
782,991,991,HIGHRISK
783,991,991,HIGHRISK
784,991,991,HIGHRISK
785,15,14,LOWRISK
786,991,991,HIGHRISK
787,991,991,HIGHRISK
788,991,991,HIGHRISK
789,991,991,HIGHRISK
790,17,14,LOWRISK
791,991,991,HIGHRISK
792,991,991,HIGHRISK
793,991,991,HIGHRISK
794,991,991,HIGHRISK
795,21,21,HIGHRISK
796,991,991,HIGHRISK
797,991,991,HIGHRISK
798,25,21,LOWRISK
799,991,991,HIGHRISK
800,991,991,HIGHRISK
801,991,991,HIGHRISK
802,18,15,LOWRISK
803,999,17,LOWRISK
804,991,991,HIGHRISK
805,18,18,HIGHRISK
806,30,30,HIGHRISK
807,999,21,LOWRISK
808,16,15,LOWRISK
809,13,10,LOWRISK
810,991,991,HIGHRISK
811,999,13,LOWRISK
812,991,991,HIGHRISK
813,991,991,HIGHRISK
814,20,16,LOWRISK
815,999,15,LOWRISK
816,999,15,LOWRISK
817,19,18,LOWRISK
818,999,12,LOWRISK
819,28,28,HIGHRISK
820,991,991,HIGHRISK
821,18,14,LOWRISK
822,991,991,HIGHRISK
823,15,13,LOWRISK
824,991,991,HIGHRISK
825,999,40,LOWRISK
826,991,991,HIGHRISK
827,991,991,HIGHRISK
828,18,14,LOWRISK
829,991,991,HIGHRISK
830,991,991,HIGHRISK
831,991,991,HIGHRISK
832,999,10,LOWRISK
833,999,20,LOWRISK
834,27,16,LOWRISK
835,999,19,LOWRISK
836,991,991,HIGHRISK
837,991,991,HIGHRISK
838,999,12,LOWRISK
839,999,18,LOWRISK
840,991,991,HIGHRISK
841,991,991,HIGHRISK
842,19,12,LOWRISK
843,999,10,LOWRISK
844,18,18,HIGHRISK
845,991,991,HIGHRISK
846,991,991,HIGHRISK
847,999,16,LOWRISK
848,18,18,HIGHRISK
849,16,15,LOWRISK
850,991,991,HIGHRISK
851,991,991,HIGHRISK
852,999,18,LOWRISK
853,991,991,HIGHRISK
854,991,991,HIGHRISK
855,999,24,LOWRISK
856,991,991,HIGHRISK
857,17,17,HIGHRISK
858,991,991,HIGHRISK
859,15,13,LOWRISK
860,999,22,LOWRISK
861,999,18,LOWRISK
862,991,991,HIGHRISK
863,16,15,LOWRISK
864,13,13,HIGHRISK
865,20,9,LOWRISK
866,999,16,LOWRISK
867,18,16,LOWRISK
868,991,991,HIGHRISK
869,17,17,HIGHRISK
870,16,16,HIGHRISK
871,18,18,HIGHRISK
872,991,991,HIGHRISK
873,15,15,HIGHRISK
874,991,991,HIGHRISK
875,999,11,LOWRISK
876,20,18,LOWRISK
877,14,14,HIGHRISK
878,17,16,LOWRISK
879,16,16,HIGHRISK
880,17,15,LOWRISK
881,999,13,LOWRISK
882,991,991,HIGHRISK
883,999,18,LOWRISK
884,991,991,HIGHRISK
885,14,7,LOWRISK
886,18,16,LOWRISK
887,999,18,LOWRISK
888,999,15,LOWRISK
889,999,18,LOWRISK
890,991,991,HIGHRISK
891,991,991,HIGHRISK
892,991,991,HIGHRISK
893,999,16,LOWRISK
894,999,14,LOWRISK
895,991,991,HIGHRISK
896,18,16,LOWRISK
897,991,991,HIGHRISK
898,991,991,HIGHRISK
899,999,12,LOWRISK
900,991,991,HIGHRISK
901,20,16,LOWRISK
902,991,991,HIGHRISK
903,991,991,HIGHRISK
904,14,14,HIGHRISK
905,991,991,HIGHRISK
906,999,10,LOWRISK
907,994,994,HIGHRISK
908,999,18,LOWRISK
909,999,18,LOWRISK
910,991,991,HIGHRISK
911,999,20,LOWRISK
912,18,15,LOWRISK
913,991,991,HIGHRISK
914,991,991,HIGHRISK
915,999,19,LOWRISK
916,991,991,HIGHRISK
917,999,17,LOWRISK
918,991,991,HIGHRISK
919,999,18,LOWRISK
920,991,991,HIGHRISK
921,991,991,HIGHRISK
922,999,12,LOWRISK
923,999,17,LOWRISK
924,999,16,LOWRISK
925,999,16,LOWRISK
926,999,15,LOWRISK
927,991,991,HIGHRISK
928,991,991,HIGHRISK
929,991,991,HIGHRISK
930,991,991,HIGHRISK
931,19,14,LOWRISK
932,16,12,LOWRISK
933,991,991,HIGHRISK
934,991,991,HIGHRISK
935,999,16,LOWRISK
936,991,991,HIGHRISK
937,21,18,LOWRISK
938,999,13,LOWRISK
939,999,15,LOWRISK
940,991,991,HIGHRISK
941,991,991,HIGHRISK
942,991,991,HIGHRISK
943,991,991,HIGHRISK
944,999,13,LOWRISK
945,991,991,HIGHRISK
946,19,18,LOWRISK
947,991,991,HIGHRISK
948,999,16,LOWRISK
949,999,18,LOWRISK
950,991,991,HIGHRISK
951,15,14,LOWRISK
952,18,17,LOWRISK
953,991,991,HIGHRISK
954,991,991,HIGHRISK
955,991,991,HIGHRISK
956,991,991,HIGHRISK
957,999,14,LOWRISK
958,16,16,HIGHRISK
959,18,18,HIGHRISK
960,991,991,HIGHRISK
961,991,991,HIGHRISK
962,999,6,LOWRISK
963,18,18,HIGHRISK
964,17,8,LOWRISK
965,991,991,HIGHRISK
966,991,991,HIGHRISK
967,991,991,HIGHRISK
968,991,991,HIGHRISK
969,999,18,LOWRISK
970,991,991,HIGHRISK
971,999,21,LOWRISK
972,999,33,LOWRISK
973,12,11,LOWRISK
974,14,14,HIGHRISK
975,991,991,HIGHRISK
976,999,16,LOWRISK
977,999,8,LOWRISK
978,991,991,HIGHRISK
979,999,16,LOWRISK
980,14,11,LOWRISK
981,999,18,LOWRISK
982,991,991,HIGHRISK
983,16,16,HIGHRISK
984,999,19,LOWRISK
985,11,11,HIGHRISK
986,991,991,HIGHRISK
987,19,13,LOWRISK
988,991,991,HIGHRISK
989,18,17,LOWRISK
990,991,991,HIGHRISK
991,18,16,LOWRISK
992,14,14,HIGHRISK
993,999,16,LOWRISK
994,999,16,LOWRISK
995,991,991,HIGHRISK
996,991,991,HIGHRISK
997,991,991,HIGHRISK
998,18,15,LOWRISK
999,991,991,HIGHRISK
1000,999,18,LOWRISK
1001,999,18,LOWRISK
1002,991,991,HIGHRISK
1003,19,16,LOWRISK
1004,999,16,LOWRISK
1005,991,991,HIGHRISK
1006,999,16,LOWRISK
1007,999,21,LOWRISK
1008,991,991,HIGHRISK
1009,999,22,LOWRISK
1010,999,11,LOWRISK
1011,999,18,LOWRISK
